lat,lon,distance_km
55.082083,3.202752,403.570
55.090668,3.231392,405.627
55.099252,3.260033,407.685
55.107836,3.288674,409.742
55.116421,3.317314,411.798
55.125005,3.345955,413.854
55.133589,3.374596,415.910
55.142174,3.403236,417.965
55.150758,3.431877,420.021
55.159342,3.460518,422.075
55.167927,3.489158,424.130
55.176511,3.517799,426.184
55.185096,3.546440,428.238
55.193680,3.575080,430.291
55.202264,3.603721,432.344
55.210849,3.632362,434.397
55.219433,3.661002,436.449
55.228017,3.689643,438.501
55.236602,3.718284,440.553
55.245186,3.746924,442.604
55.253771,3.775565,444.655
55.262355,3.804206,446.706
55.270939,3.832846,448.756
55.279524,3.861487,450.806
55.288108,3.890128,452.855
55.296692,3.918769,454.905
55.305277,3.947409,456.953
55.313861,3.976050,459.002
55.322445,4.004691,461.050
55.331030,4.033331,463.098
55.339614,4.061972,465.145
55.348199,4.090613,467.193
55.356783,4.119253,469.239
55.365367,4.147894,471.286
55.373952,4.176535,473.332
55.382536,4.205175,475.378
55.391120,4.233816,477.423
55.399705,4.262457,479.468
55.408289,4.291097,481.513
55.416874,4.319738,483.557
55.425458,4.348379,485.601
55.434042,4.377019,487.645
55.442627,4.405660,489.688
55.451211,4.434301,491.731
55.459795,4.462941,493.774
55.468380,4.491582,495.816
55.476964,4.520223,497.858
55.485548,4.548864,499.900
55.494133,4.577504,501.941
55.502717,4.606145,503.982
55.511302,4.634786,506.022
55.519886,4.663426,508.062
55.528470,4.692067,510.102
55.537055,4.720708,512.142
55.545639,4.749348,514.181
55.554223,4.777989,516.220
55.562808,4.806630,518.258
55.571392,4.835270,520.296
55.579977,4.863911,522.334
55.588561,4.892552,524.371
55.597145,4.921192,526.409
55.605730,4.949833,528.445
55.614314,4.978474,530.482
55.622898,5.007114,532.518
55.631483,5.035755,534.553
55.640067,5.064396,536.589
55.648652,5.093036,538.624
55.657236,5.121677,540.658
55.665820,5.150318,542.693
55.674405,5.178959,544.726
55.682989,5.207599,546.760
55.691573,5.236240,548.793
55.700158,5.264881,550.826
55.708742,5.293521,552.859
55.717326,5.322162,554.891
55.725911,5.350803,556.923
55.734495,5.379443,558.954
55.743080,5.408084,560.985
55.751664,5.436725,563.016
55.760248,5.465365,565.047
55.768833,5.494006,567.077
55.777417,5.522647,569.106
55.786001,5.551287,571.136
55.794586,5.579928,573.165
55.803170,5.608569,575.194
55.811755,5.637209,577.222
55.820339,5.665850,579.250
55.828923,5.694491,581.278
55.837508,5.723131,583.305
55.846092,5.751772,585.332
55.854676,5.780413,587.359
55.863261,5.809054,589.385
55.871845,5.837694,591.411
55.880429,5.866335,593.436
55.889014,5.894976,595.462
55.897598,5.923616,597.486
55.906183,5.952257,599.511
55.914767,5.980898,601.535
55.923351,6.009538,603.559
55.931936,6.038179,605.583
55.940520,6.066820,607.606
55.949104,6.095460,609.628
55.957689,6.124101,611.651
55.966273,6.152742,613.673
55.974858,6.181382,615.695
55.983442,6.210023,617.716
55.992026,6.238664,619.737
56.000611,6.267304,621.758
56.009195,6.295945,623.778
56.017779,6.324586,625.798
56.026364,6.353226,627.818
56.034948,6.381867,629.837
56.043532,6.410508,631.856
56.052117,6.439148,633.875
56.060701,6.467789,635.893
56.069286,6.496430,637.911
56.077870,6.525071,639.928
56.086454,6.553711,641.946
56.095039,6.582352,643.962
56.103623,6.610993,645.979
56.112207,6.639633,647.995
56.120792,6.668274,650.011
56.129376,6.696915,652.026
56.137961,6.725555,654.042
56.146545,6.754196,656.056
56.155129,6.782837,658.071
56.163714,6.811477,660.085
56.172298,6.840118,662.099
56.180882,6.868759,664.112
56.189467,6.897399,666.125
56.198051,6.926040,668.138
56.206635,6.954681,670.150
56.215220,6.983321,672.162
56.223804,7.011962,674.174
56.232389,7.040603,676.185
56.240973,7.069243,678.196
56.249557,7.097884,680.206
56.258142,7.126525,682.217
56.266726,7.155166,684.226
56.275310,7.183806,686.236
56.283895,7.212447,688.245
56.292479,7.241088,690.254
56.301064,7.269728,692.262
56.309648,7.298369,694.271
56.318232,7.327010,696.278
56.326817,7.355650,698.286
56.335401,7.384291,700.293
56.343985,7.412932,702.300
56.352570,7.441572,704.306
56.361154,7.470213,706.312
56.369738,7.498854,708.318
56.378323,7.527494,710.323
56.386907,7.556135,712.328
56.395492,7.584776,714.333
56.404076,7.613416,716.337
56.412660,7.642057,718.341
56.421245,7.670698,720.344
56.429829,7.699338,722.348
56.438413,7.727979,724.351
